Year,State,Commodity,Criteria,Value
2013,GEORGIA,CORN,ACRES PLANTED,510000
2012,GEORGIA,CORN,ACRES PLANTED,345000
2011,GEORGIA,CORN,ACRES PLANTED,345000
2010,GEORGIA,CORN,ACRES PLANTED,295000
2009,GEORGIA,CORN,ACRES PLANTED,420000
2008,GEORGIA,CORN,ACRES PLANTED,370000
2007,GEORGIA,CORN,ACRES PLANTED,510000
2006,GEORGIA,CORN,ACRES PLANTED,280000
2005,GEORGIA,CORN,ACRES PLANTED,270000
2004,GEORGIA,CORN,ACRES PLANTED,335000
2003,GEORGIA,CORN,ACRES PLANTED,340000
2002,GEORGIA,CORN,ACRES PLANTED,340000
2001,GEORGIA,CORN,ACRES PLANTED,265000
2000,GEORGIA,CORN,ACRES PLANTED,360000
2015,IDAHO,CORN,ACRES PLANTED,280000
2014,IDAHO,CORN,ACRES PLANTED,320000
2013,IDAHO,CORN,ACRES PLANTED,350000
2012,IDAHO,CORN,ACRES PLANTED,360000
2011,IDAHO,CORN,ACRES PLANTED,350000
2010,IDAHO,CORN,ACRES PLANTED,320000
2009,IDAHO,CORN,ACRES PLANTED,300000
2008,IDAHO,CORN,ACRES PLANTED,300000
2007,IDAHO,CORN,ACRES PLANTED,320000
2006,IDAHO,CORN,ACRES PLANTED,270000
2005,IDAHO,CORN,ACRES PLANTED,235000
2004,IDAHO,CORN,ACRES PLANTED,230000
2003,IDAHO,CORN,ACRES PLANTED,190000
2002,IDAHO,CORN,ACRES PLANTED,190000
2001,IDAHO,CORN,ACRES PLANTED,175000
2000,IDAHO,CORN,ACRES PLANTED,195000
2015,ILLINOIS,CORN,ACRES PLANTED,11700000
2014,ILLINOIS,CORN,ACRES PLANTED,11900000
2013,ILLINOIS,CORN,ACRES PLANTED,12000000
2012,ILLINOIS,CORN,ACRES PLANTED,12800000
2011,ILLINOIS,CORN,ACRES PLANTED,12600000
2010,ILLINOIS,CORN,ACRES PLANTED,12600000
2009,ILLINOIS,CORN,ACRES PLANTED,12000000
2008,ILLINOIS,CORN,ACRES PLANTED,12100000
2007,ILLINOIS,CORN,ACRES PLANTED,13200000
2006,ILLINOIS,CORN,ACRES PLANTED,11300000
2005,ILLINOIS,CORN,ACRES PLANTED,12100000
2004,ILLINOIS,CORN,ACRES PLANTED,11750000
2003,ILLINOIS,CORN,ACRES PLANTED,11200000
2002,ILLINOIS,CORN,ACRES PLANTED,11100000
2001,ILLINOIS,CORN,ACRES PLANTED,11000000
2000,ILLINOIS,CORN,ACRES PLANTED,11200000
2015,INDIANA,CORN,ACRES PLANTED,5650000
2014,INDIANA,CORN,ACRES PLANTED,5900000
2013,INDIANA,CORN,ACRES PLANTED,6000000
2012,INDIANA,CORN,ACRES PLANTED,6250000
2011,INDIANA,CORN,ACRES PLANTED,5900000
2010,INDIANA,CORN,ACRES PLANTED,5900000
2009,INDIANA,CORN,ACRES PLANTED,5600000
2008,INDIANA,CORN,ACRES PLANTED,5700000
2007,INDIANA,CORN,ACRES PLANTED,6500000
2006,INDIANA,CORN,ACRES PLANTED,5500000
2005,INDIANA,CORN,ACRES PLANTED,5900000
2004,INDIANA,CORN,ACRES PLANTED,5700000
2003,INDIANA,CORN,ACRES PLANTED,5600000
2002,INDIANA,CORN,ACRES PLANTED,5400000
2001,INDIANA,CORN,ACRES PLANTED,5800000
2000,INDIANA,CORN,ACRES PLANTED,5700000
2015,IOWA,CORN,ACRES PLANTED,13500000
2014,IOWA,CORN,ACRES PLANTED,13700000
2013,IOWA,CORN,ACRES PLANTED,13600000
2012,IOWA,CORN,ACRES PLANTED,14200000
2011,IOWA,CORN,ACRES PLANTED,14100000
2010,IOWA,CORN,ACRES PLANTED,13400000
2009,IOWA,CORN,ACRES PLANTED,13600000
2008,IOWA,CORN,ACRES PLANTED,13300000
2007,IOWA,CORN,ACRES PLANTED,14200000
2006,IOWA,CORN,ACRES PLANTED,12600000
2005,IOWA,CORN,ACRES PLANTED,12800000
2004,IOWA,CORN,ACRES PLANTED,12700000
2003,IOWA,CORN,ACRES PLANTED,12300000
2002,IOWA,CORN,ACRES PLANTED,12200000
2001,IOWA,CORN,ACRES PLANTED,11700000
2000,IOWA,CORN,ACRES PLANTED,12300000
2015,KANSAS,CORN,ACRES PLANTED,4150000
2014,KANSAS,CORN,ACRES PLANTED,4050000
2013,KANSAS,CORN,ACRES PLANTED,4300000
2012,KANSAS,CORN,ACRES PLANTED,4700000
2011,KANSAS,CORN,ACRES PLANTED,4900000
2010,KANSAS,CORN,ACRES PLANTED,4850000
2009,KANSAS,CORN,ACRES PLANTED,4100000
2008,KANSAS,CORN,ACRES PLANTED,3850000
2007,KANSAS,CORN,ACRES PLANTED,3900000
2006,KANSAS,CORN,ACRES PLANTED,3350000
2005,KANSAS,CORN,ACRES PLANTED,3650000
2004,KANSAS,CORN,ACRES PLANTED,3100000
2003,KANSAS,CORN,ACRES PLANTED,2900000
2002,KANSAS,CORN,ACRES PLANTED,3250000
2001,KANSAS,CORN,ACRES PLANTED,3450000
2000,KANSAS,CORN,ACRES PLANTED,3450000
2015,KENTUCKY,CORN,ACRES PLANTED,1400000
2014,KENTUCKY,CORN,ACRES PLANTED,1520000
2013,KENTUCKY,CORN,ACRES PLANTED,1530000
2012,KENTUCKY,CORN,ACRES PLANTED,1650000
2011,KENTUCKY,CORN,ACRES PLANTED,1380000
2010,KENTUCKY,CORN,ACRES PLANTED,1340000
2009,KENTUCKY,CORN,ACRES PLANTED,1220000
2008,KENTUCKY,CORN,ACRES PLANTED,1210000
2007,KENTUCKY,CORN,ACRES PLANTED,1440000
2006,KENTUCKY,CORN,ACRES PLANTED,1120000
2005,KENTUCKY,CORN,ACRES PLANTED,1250000
2004,KENTUCKY,CORN,ACRES PLANTED,1210000
2003,KENTUCKY,CORN,ACRES PLANTED,1170000
2002,KENTUCKY,CORN,ACRES PLANTED,1160000
2001,KENTUCKY,CORN,ACRES PLANTED,1200000
2000,KENTUCKY,CORN,ACRES PLANTED,1330000
2015,LOUISIANA,CORN,ACRES PLANTED,400000
2014,LOUISIANA,CORN,ACRES PLANTED,400000
2013,LOUISIANA,CORN,ACRES PLANTED,680000
2012,LOUISIANA,CORN,ACRES PLANTED,540000
2011,LOUISIANA,CORN,ACRES PLANTED,580000
2010,LOUISIANA,CORN,ACRES PLANTED,510000
2009,LOUISIANA,CORN,ACRES PLANTED,630000
2008,LOUISIANA,CORN,ACRES PLANTED,520000
2007,LOUISIANA,CORN,ACRES PLANTED,740000
2006,LOUISIANA,CORN,ACRES PLANTED,300000
2005,LOUISIANA,CORN,ACRES PLANTED,340000
2004,LOUISIANA,CORN,ACRES PLANTED,420000
2003,LOUISIANA,CORN,ACRES PLANTED,520000
2002,LOUISIANA,CORN,ACRES PLANTED,580000
2001,LOUISIANA,CORN,ACRES PLANTED,315000
2000,LOUISIANA,CORN,ACRES PLANTED,380000
2015,MAINE,CORN,ACRES PLANTED,31000
2014,MAINE,CORN,ACRES PLANTED,31000
2013,MAINE,CORN,ACRES PLANTED,31000
2012,MAINE,CORN,ACRES PLANTED,30000
2011,MAINE,CORN,ACRES PLANTED,29000
2010,MAINE,CORN,ACRES PLANTED,28000
2009,MAINE,CORN,ACRES PLANTED,28000
2008,MAINE,CORN,ACRES PLANTED,29000
2007,MAINE,CORN,ACRES PLANTED,28000
2006,MAINE,CORN,ACRES PLANTED,26000
2005,MAINE,CORN,ACRES PLANTED,26000
2004,MAINE,CORN,ACRES PLANTED,28000
2003,MAINE,CORN,ACRES PLANTED,28000
2002,MAINE,CORN,ACRES PLANTED,29000
2001,MAINE,CORN,ACRES PLANTED,28000
2000,MAINE,CORN,ACRES PLANTED,29000
2015,MARYLAND,CORN,ACRES PLANTED,440000
2014,MARYLAND,CORN,ACRES PLANTED,500000
2013,MARYLAND,CORN,ACRES PLANTED,480000
2012,MARYLAND,CORN,ACRES PLANTED,495000
2011,MARYLAND,CORN,ACRES PLANTED,500000
2010,MARYLAND,CORN,ACRES PLANTED,500000
2009,MARYLAND,CORN,ACRES PLANTED,470000
2008,MARYLAND,CORN,ACRES PLANTED,460000
2007,MARYLAND,CORN,ACRES PLANTED,540000
2006,MARYLAND,CORN,ACRES PLANTED,490000
2005,MARYLAND,CORN,ACRES PLANTED,470000
2004,MARYLAND,CORN,ACRES PLANTED,490000
2003,MARYLAND,CORN,ACRES PLANTED,480000
2002,MARYLAND,CORN,ACRES PLANTED,510000
2001,MARYLAND,CORN,ACRES PLANTED,490000
2000,MARYLAND,CORN,ACRES PLANTED,480000
2015,MASSACHUSETTS,CORN,ACRES PLANTED,16000
2014,MASSACHUSETTS,CORN,ACRES PLANTED,16000
2013,MASSACHUSETTS,CORN,ACRES PLANTED,16000
2012,MASSACHUSETTS,CORN,ACRES PLANTED,16000
2011,MASSACHUSETTS,CORN,ACRES PLANTED,17000
2010,MASSACHUSETTS,CORN,ACRES PLANTED,17000
2009,MASSACHUSETTS,CORN,ACRES PLANTED,17000
2008,MASSACHUSETTS,CORN,ACRES PLANTED,19000
2007,MASSACHUSETTS,CORN,ACRES PLANTED,18000
2006,MASSACHUSETTS,CORN,ACRES PLANTED,18000
2005,MASSACHUSETTS,CORN,ACRES PLANTED,20000
2004,MASSACHUSETTS,CORN,ACRES PLANTED,20000
2003,MASSACHUSETTS,CORN,ACRES PLANTED,20000
2002,MASSACHUSETTS,CORN,ACRES PLANTED,22000
2001,MASSACHUSETTS,CORN,ACRES PLANTED,22000
2000,MASSACHUSETTS,CORN,ACRES PLANTED,25000
2015,MICHIGAN,CORN,ACRES PLANTED,2350000
2014,MICHIGAN,CORN,ACRES PLANTED,2550000
2013,MICHIGAN,CORN,ACRES PLANTED,2600000
2012,MICHIGAN,CORN,ACRES PLANTED,2700000
2011,MICHIGAN,CORN,ACRES PLANTED,2500000
2010,MICHIGAN,CORN,ACRES PLANTED,2400000
2009,MICHIGAN,CORN,ACRES PLANTED,2350000
2008,MICHIGAN,CORN,ACRES PLANTED,2400000
2007,MICHIGAN,CORN,ACRES PLANTED,2650000
2006,MICHIGAN,CORN,ACRES PLANTED,2200000
2005,MICHIGAN,CORN,ACRES PLANTED,2250000
2004,MICHIGAN,CORN,ACRES PLANTED,2200000
2003,MICHIGAN,CORN,ACRES PLANTED,2250000
2002,MICHIGAN,CORN,ACRES PLANTED,2250000
2001,MICHIGAN,CORN,ACRES PLANTED,2200000
2000,MICHIGAN,CORN,ACRES PLANTED,2200000
2015,MINNESOTA,CORN,ACRES PLANTED,8100000
2014,MINNESOTA,CORN,ACRES PLANTED,8200000
2013,MINNESOTA,CORN,ACRES PLANTED,8600000
2012,MINNESOTA,CORN,ACRES PLANTED,8750000
2011,MINNESOTA,CORN,ACRES PLANTED,8100000
2010,MINNESOTA,CORN,ACRES PLANTED,7700000
2009,MINNESOTA,CORN,ACRES PLANTED,7600000
2008,MINNESOTA,CORN,ACRES PLANTED,7700000
2007,MINNESOTA,CORN,ACRES PLANTED,8400000
2006,MINNESOTA,CORN,ACRES PLANTED,7300000
2005,MINNESOTA,CORN,ACRES PLANTED,7300000
2004,MINNESOTA,CORN,ACRES PLANTED,7500000
2003,MINNESOTA,CORN,ACRES PLANTED,7200000
2002,MINNESOTA,CORN,ACRES PLANTED,7200000
2001,MINNESOTA,CORN,ACRES PLANTED,6800000
2000,MINNESOTA,CORN,ACRES PLANTED,7200000
2015,MISSISSIPPI,CORN,ACRES PLANTED,510000
2014,MISSISSIPPI,CORN,ACRES PLANTED,510000
2013,MISSISSIPPI,CORN,ACRES PLANTED,860000
2012,MISSISSIPPI,CORN,ACRES PLANTED,820000
2011,MISSISSIPPI,CORN,ACRES PLANTED,810000
2010,MISSISSIPPI,CORN,ACRES PLANTED,750000
2009,MISSISSIPPI,CORN,ACRES PLANTED,730000
2008,MISSISSIPPI,CORN,ACRES PLANTED,720000
2007,MISSISSIPPI,CORN,ACRES PLANTED,930000
2006,MISSISSIPPI,CORN,ACRES PLANTED,340000
2005,MISSISSIPPI,CORN,ACRES PLANTED,380000
2004,MISSISSIPPI,CORN,ACRES PLANTED,460000
2003,MISSISSIPPI,CORN,ACRES PLANTED,550000
2002,MISSISSIPPI,CORN,ACRES PLANTED,550000
2001,MISSISSIPPI,CORN,ACRES PLANTED,400000
2000,MISSISSIPPI,CORN,ACRES PLANTED,390000
2015,MISSOURI,CORN,ACRES PLANTED,3250000
2014,MISSOURI,CORN,ACRES PLANTED,3500000
2013,MISSOURI,CORN,ACRES PLANTED,3350000
2012,MISSOURI,CORN,ACRES PLANTED,3600000
2011,MISSOURI,CORN,ACRES PLANTED,3300000
2010,MISSOURI,CORN,ACRES PLANTED,3150000
2009,MISSOURI,CORN,ACRES PLANTED,3000000
2008,MISSOURI,CORN,ACRES PLANTED,2800000
2007,MISSOURI,CORN,ACRES PLANTED,3450000
2006,MISSOURI,CORN,ACRES PLANTED,2700000
2005,MISSOURI,CORN,ACRES PLANTED,3100000
2004,MISSOURI,CORN,ACRES PLANTED,2950000
2003,MISSOURI,CORN,ACRES PLANTED,2900000
2002,MISSOURI,CORN,ACRES PLANTED,2800000
2001,MISSOURI,CORN,ACRES PLANTED,2700000
2000,MISSOURI,CORN,ACRES PLANTED,2850000
2015,MONTANA,CORN,ACRES PLANTED,105000
2014,MONTANA,CORN,ACRES PLANTED,130000
2013,MONTANA,CORN,ACRES PLANTED,120000
2012,MONTANA,CORN,ACRES PLANTED,105000
2011,MONTANA,CORN,ACRES PLANTED,77000
2010,MONTANA,CORN,ACRES PLANTED,80000
2009,MONTANA,CORN,ACRES PLANTED,72000
2008,MONTANA,CORN,ACRES PLANTED,78000
2007,MONTANA,CORN,ACRES PLANTED,84000
2006,MONTANA,CORN,ACRES PLANTED,65000
2005,MONTANA,CORN,ACRES PLANTED,65000
2004,MONTANA,CORN,ACRES PLANTED,70000
2003,MONTANA,CORN,ACRES PLANTED,68000
2002,MONTANA,CORN,ACRES PLANTED,65000
2001,MONTANA,CORN,ACRES PLANTED,65000
2000,MONTANA,CORN,ACRES PLANTED,60000
2015,NEBRASKA,CORN,ACRES PLANTED,9400000
2014,NEBRASKA,CORN,ACRES PLANTED,9300000
2013,NEBRASKA,CORN,ACRES PLANTED,9950000
2012,NEBRASKA,CORN,ACRES PLANTED,10000000
2011,NEBRASKA,CORN,ACRES PLANTED,9850000
2010,NEBRASKA,CORN,ACRES PLANTED,9150000
2009,NEBRASKA,CORN,ACRES PLANTED,9150000
2008,NEBRASKA,CORN,ACRES PLANTED,8800000
2007,NEBRASKA,CORN,ACRES PLANTED,9400000
2006,NEBRASKA,CORN,ACRES PLANTED,8100000
2005,NEBRASKA,CORN,ACRES PLANTED,8500000
2004,NEBRASKA,CORN,ACRES PLANTED,8250000
2003,NEBRASKA,CORN,ACRES PLANTED,8100000
2002,NEBRASKA,CORN,ACRES PLANTED,8400000
2001,NEBRASKA,CORN,ACRES PLANTED,8100000
2000,NEBRASKA,CORN,ACRES PLANTED,8500000
2015,NEVADA,CORN,ACRES PLANTED,2000
2014,NEVADA,CORN,ACRES PLANTED,4000
2013,NEVADA,CORN,ACRES PLANTED,7000
2012,NEVADA,CORN,ACRES PLANTED,8000
2011,NEVADA,CORN,ACRES PLANTED,8000
2010,NEVADA,CORN,ACRES PLANTED,4000
2009,NEVADA,CORN,ACRES PLANTED,4000
2008,NEVADA,CORN,ACRES PLANTED,5000
2007,NEVADA,CORN,ACRES PLANTED,5000
2006,NEVADA,CORN,ACRES PLANTED,4000
2005,NEVADA,CORN,ACRES PLANTED,5000
2004,NEVADA,CORN,ACRES PLANTED,4000
2003,NEVADA,CORN,ACRES PLANTED,4000
2002,NEVADA,CORN,ACRES PLANTED,4000
2001,NEVADA,CORN,ACRES PLANTED,3000
2000,NEVADA,CORN,ACRES PLANTED,4000
2015,NEW HAMPSHIRE,CORN,ACRES PLANTED,15000
2014,NEW HAMPSHIRE,CORN,ACRES PLANTED,15000
2013,NEW HAMPSHIRE,CORN,ACRES PLANTED,14000
2012,NEW HAMPSHIRE,CORN,ACRES PLANTED,14000
2011,NEW HAMPSHIRE,CORN,ACRES PLANTED,15000
2010,NEW HAMPSHIRE,CORN,ACRES PLANTED,15000
2009,NEW HAMPSHIRE,CORN,ACRES PLANTED,15000
2008,NEW HAMPSHIRE,CORN,ACRES PLANTED,15000
2007,NEW HAMPSHIRE,CORN,ACRES PLANTED,14000
2006,NEW HAMPSHIRE,CORN,ACRES PLANTED,14000
2005,NEW HAMPSHIRE,CORN,ACRES PLANTED,15000
2004,NEW HAMPSHIRE,CORN,ACRES PLANTED,15000
2003,NEW HAMPSHIRE,CORN,ACRES PLANTED,15000
2002,NEW HAMPSHIRE,CORN,ACRES PLANTED,15000
2001,NEW HAMPSHIRE,CORN,ACRES PLANTED,15000
2000,NEW HAMPSHIRE,CORN,ACRES PLANTED,15000
2015,NEW JERSEY,CORN,ACRES PLANTED,80000
2014,NEW JERSEY,CORN,ACRES PLANTED,85000
2013,NEW JERSEY,CORN,ACRES PLANTED,90000
2012,NEW JERSEY,CORN,ACRES PLANTED,95000
2011,NEW JERSEY,CORN,ACRES PLANTED,90000
2010,NEW JERSEY,CORN,ACRES PLANTED,80000
2009,NEW JERSEY,CORN,ACRES PLANTED,80000
2008,NEW JERSEY,CORN,ACRES PLANTED,85000
2007,NEW JERSEY,CORN,ACRES PLANTED,95000
2006,NEW JERSEY,CORN,ACRES PLANTED,80000
2005,NEW JERSEY,CORN,ACRES PLANTED,80000
2004,NEW JERSEY,CORN,ACRES PLANTED,86000
2003,NEW JERSEY,CORN,ACRES PLANTED,80000
2002,NEW JERSEY,CORN,ACRES PLANTED,90000
2001,NEW JERSEY,CORN,ACRES PLANTED,80000
2000,NEW JERSEY,CORN,ACRES PLANTED,90000
2015,NEW MEXICO,CORN,ACRES PLANTED,125000
2014,NEW MEXICO,CORN,ACRES PLANTED,125000
2013,NEW MEXICO,CORN,ACRES PLANTED,120000
2012,NEW MEXICO,CORN,ACRES PLANTED,125000
2011,NEW MEXICO,CORN,ACRES PLANTED,130000
2010,NEW MEXICO,CORN,ACRES PLANTED,140000
2009,NEW MEXICO,CORN,ACRES PLANTED,130000
2008,NEW MEXICO,CORN,ACRES PLANTED,140000
2007,NEW MEXICO,CORN,ACRES PLANTED,135000
2006,NEW MEXICO,CORN,ACRES PLANTED,130000
2005,NEW MEXICO,CORN,ACRES PLANTED,140000
2004,NEW MEXICO,CORN,ACRES PLANTED,125000
2003,NEW MEXICO,CORN,ACRES PLANTED,130000
2002,NEW MEXICO,CORN,ACRES PLANTED,140000
2001,NEW MEXICO,CORN,ACRES PLANTED,130000
2000,NEW MEXICO,CORN,ACRES PLANTED,150000
2015,NEW YORK,CORN,ACRES PLANTED,1080000
2014,NEW YORK,CORN,ACRES PLANTED,1140000
2013,NEW YORK,CORN,ACRES PLANTED,1200000
2012,NEW YORK,CORN,ACRES PLANTED,1170000
2011,NEW YORK,CORN,ACRES PLANTED,1100000
2010,NEW YORK,CORN,ACRES PLANTED,1050000
2009,NEW YORK,CORN,ACRES PLANTED,1070000
2008,NEW YORK,CORN,ACRES PLANTED,1090000
2007,NEW YORK,CORN,ACRES PLANTED,1060000
2006,NEW YORK,CORN,ACRES PLANTED,950000
2005,NEW YORK,CORN,ACRES PLANTED,990000
2004,NEW YORK,CORN,ACRES PLANTED,980000
2003,NEW YORK,CORN,ACRES PLANTED,1000000
2002,NEW YORK,CORN,ACRES PLANTED,1020000
2001,NEW YORK,CORN,ACRES PLANTED,1030000
2000,NEW YORK,CORN,ACRES PLANTED,980000
2015,NORTH CAROLINA,CORN,ACRES PLANTED,790000
2014,NORTH CAROLINA,CORN,ACRES PLANTED,840000
2013,NORTH CAROLINA,CORN,ACRES PLANTED,930000
2012,NORTH CAROLINA,CORN,ACRES PLANTED,870000
2011,NORTH CAROLINA,CORN,ACRES PLANTED,870000
2010,NORTH CAROLINA,CORN,ACRES PLANTED,910000
2009,NORTH CAROLINA,CORN,ACRES PLANTED,870000
2008,NORTH CAROLINA,CORN,ACRES PLANTED,900000
2007,NORTH CAROLINA,CORN,ACRES PLANTED,1090000
2006,NORTH CAROLINA,CORN,ACRES PLANTED,790000
2005,NORTH CAROLINA,CORN,ACRES PLANTED,750000
2004,NORTH CAROLINA,CORN,ACRES PLANTED,820000
2003,NORTH CAROLINA,CORN,ACRES PLANTED,740000
2002,NORTH CAROLINA,CORN,ACRES PLANTED,780000
2001,NORTH CAROLINA,CORN,ACRES PLANTED,700000
2000,NORTH CAROLINA,CORN,ACRES PLANTED,730000
2015,NORTH DAKOTA,CORN,ACRES PLANTED,2750000
